,gene_weight,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator
Synpcc7942_0240,0.0758945813661446,apcD,CP000100.1,,234851,235342,-,hypothetical protein,Energy production and conversion,Q31RP7,Op211,
Synpcc7942_0259,0.0636496975798522,Synpcc7942_0259,CP000100.1,,255474,255806,+,conserved hypothetical protein,No COG annotation,Q31RM8,Op223,
Synpcc7942_0294,0.0665680626592665,psbO,CP000100.1,,290394,291227,+,photosystem II manganese-stabilizing polypeptide,Function unknown,P11472,Op246,
Synpcc7942_0325,0.1323414381742131,apcC,CP000100.1,,322093,322296,-,Lc 7.8 apoprotein (core components of the phycobilisomes),Function unknown,Q31RG2,Op268,
Synpcc7942_0326,0.1232944768368708,apcB,CP000100.1,,322388,322873,-,allophycocyanin%2C beta subunit,Energy production and conversion,Q31RG1,Op269,
Synpcc7942_0327,0.1096269654548929,apcA,CP000100.1,,322930,323415,-,allophycocyanin alpha chain,Energy production and conversion,Q31RG0,Op270,
Synpcc7942_0328,0.0792009333695266,apcE,CP000100.1,,323781,325898,-,phycobilisome core-membrane linker polypeptide,Carbohydrate transport and metabolism,Q31RF9,Op271,
Synpcc7942_0551,0.1560438595909275,Synpcc7942_0551,CP000100.1,,533570,533941,+,conserved hypothetical protein,No COG annotation,Q31QT6,Op430,
Synpcc7942_0655,0.0731005208047331,psbD1,CP000100.1,,650232,651290,+,photosystem II D2 protein (photosystem q(a) protein),Energy production and conversion,P11005,Op511,
Synpcc7942_0656,0.0903652659578428,psbC,CP000100.1,,651274,652659,+,photosystem II 44 kDa subunit reaction center protein,Energy production and conversion,P11004,Op511,
Synpcc7942_0696,0.0757069578823622,psbT,CP000100.1,,689050,689145,-,photosystem II PsbT protein,No COG annotation,Q31QE1,Op543,
Synpcc7942_0697,0.076893533718697,psbB,CP000100.1,,689222,690748,-,photosystem II core light harvesting protein,Inorganic ion transport and metabolism,P31094,Op544,
Synpcc7942_0797,0.1633897997287026,Synpcc7942_0797,CP000100.1,,792010,792270,+,hypothetical protein,No COG annotation,Q31Q40,Op614,
Synpcc7942_0855,0.0674487410517176,pixG,CP000100.1,,853629,854882,+,response regulator receiver domain protein (CheY-like),Signal transduction mechanisms,Q31PY4,Op656,
Synpcc7942_0856,0.0763270262009219,cheY2,CP000100.1,,854933,855295,+,response regulator receiver domain protein (CheY-like),Signal transduction mechanisms,Q31PY3,Op657,
Synpcc7942_0857,0.0730128237887441,Synpcc7942_0857,CP000100.1,,855315,855821,+,CheW protein,Cell motility,Q31PY2,Op657,
Synpcc7942_0858,0.0825480117336097,pixJ,CP000100.1,,855893,860113,+,methyl-accepting chemotaxis sensory transducer with phytochrome sensor,Signal transduction mechanisms,Q31PY1,Op658,
Synpcc7942_0859,0.0768635408649533,cheA,CP000100.1,,860118,862976,+,CheA signal transduction histidine kinase,Signal transduction mechanisms,Q31PY0,Op658,
Synpcc7942_0860,0.0660613796407275,cheW,CP000100.1,,862987,863946,+,CheW protein,Cell motility,Q31PX9,Op658,
Synpcc7942_0893,0.0787584943054287,psbA3,CP000100.1,,903201,904283,+,photosystem q(b) protein,Energy production and conversion,P04997,Op684,
Synpcc7942_0920,0.0906800233802843,psaK,CP000100.1,,926720,926974,-,photosystem I reaction center,Function unknown,Q31PR9,Op706,
Synpcc7942_1047,0.1215155422363455,cpcB1,CP000100.1,,1060318,1060839,+,phycocyanin%2C beta subunit,Energy production and conversion,P06539,Op801,
Synpcc7942_1048,0.136301023622163,cpcA1,CP000100.1,,1060891,1061382,+,phycocyanin%2C alpha subunit,Energy production and conversion,P13530,Op801,
Synpcc7942_1049,0.1445854509961221,cpcC1,CP000100.1,,1061488,1062309,+,phycobilisome rod linker polypeptide,Coenzyme transport and metabolism,Q31PE0,Op802,
Synpcc7942_1050,0.1566374886881456,cpcC2,CP000100.1,,1062357,1063226,+,phycobilisome rod linker polypeptide,Coenzyme transport and metabolism,Q31PD9,Op803,
Synpcc7942_1051,0.1513982036412665,cpcD,CP000100.1,,1063318,1063563,+,phycocyanin linker protein 9K,Inorganic ion transport and metabolism,Q31PD8,Op804,
Synpcc7942_1052,0.1198383874632016,cpcB2,CP000100.1,,1064073,1064594,+,phycocyanin%2C beta subunit,Energy production and conversion,P06539,Op805,
Synpcc7942_1053,0.1345085785144706,cpcA2,CP000100.1,,1064646,1065137,+,phycocyanin%2C alpha subunit,Energy production and conversion,P13530,Op806,
Synpcc7942_1090,0.0865878619436655,Synpcc7942_1090,CP000100.1,,1107477,1108274,-,conserved hypothetical protein,Function unknown,Q31P99,Op829,
Synpcc7942_1259,0.0690424203724217,arsA,CP000100.1,,1281993,1283171,+,arsenite-activated ATPase (arsA),Inorganic ion transport and metabolism,Q31NT0,Op948,
Synpcc7942_1270,0.0886245661826767,hli8,CP000100.1,,1295129,1295425,+,hypothetical protein,Function unknown,Q31NR9,Op957,
Synpcc7942_1478,0.0835890001615663,cytM,CP000100.1,,1530415,1530852,-,cytochrome CytM,Energy production and conversion,Q9Z3G2,Op1116,
Synpcc7942_1637,0.0855965782671189,psbD2,CP000100.1,,1705426,1706484,-,photosystem II D2 protein (photosystem q(a) protein),Energy production and conversion,P11005,Op1234,
